Rk,Franchise,From,To,G,W,L,W-L%,G>.500,Divs,Pnnts,WS,Playoffs,Players,HOF#,R,AB,H,HR,BA,RA,ERA
86,New York Giants,1890,1890,132,74,57,0.565,17,0,0,0,0,17,5,"1,018","4,913","1,393",66,0.284,875,4.17
87,New York Lincoln Giants,1923,1929,318,140,171,0.45,-31,0,0,0,0,115,3,"1,900","10,946","3,160",200,0.289,"2,045",5.39
88,New York Metropolitans,1883,1887,592,270,309,0.466,-39,0,1,0,0,58,1,"3,140","20,781","5,100",88,0.245,"3,375",3.73
89,New York Mutuals,1876,1876,57,21,35,0.375,-14,0,0,0,0,24,0,260,"2,180",494,2,0.227,412,2.94
90,Newark Browns,1932,1932,4,,4,0,-4,0,0,0,0,16,0,17,124,21,2,0.169,44,10.36
91,Newark Dodgers,1934,1935,97,35,60,0.368,-25,0,0,0,0,42,1,387,"2,329",700,21,0.301,521,6.8
92,Newark Eagles,1935,1948,858,448,397,0.53,51,1,1,1,2,190,7,"3,206","19,655","5,321",340,0.271,"2,978",4.3
,       Also played as Brooklyn Eagles,,,,,,,,,,,,,,,,,,,,
93,Newark Pepper,1914,1915,312,168,137,0.551,31,0,1,0,0,41,2,"1,347","10,273","2,757",50,0.268,"1,184",2.83
,       Also played as Indianapolis Hoosiers,,,,,,,,,,,,,,,,,,,,
94,Newark Stars,1926,1926,11,1,10,0.091,-9,0,0,0,0,20,0,38,282,64,1,0.227,74,7.7
95,Philadelphia Athletic,1876,1876,60,14,45,0.237,-31,0,0,0,0,21,0,378,"2,387",646,7,0.271,534,3.22
,       Also played as Philadelphia Athletics,,,,,,,,,,,,,,,,,,,,
96,Philadelphia Athletics,1890,1891,275,141,129,0.522,12,0,0,0,0,32,0,"1,758","9,894","2,651",104,0.268,"1,649",4.03
97,Philadelphia Athletics,1882,1890,"1,076",560,498,0.529,62,0,1,0,0,141,1,"6,664","38,516","9,907",229,0.257,"6,331",3.64
98,Philadelphia Bacharach Giants,1934,1934,25,5,20,0.2,-15,0,0,0,0,23,0,72,587,142,3,0.242,104,5.45
99,Philadelphia Keystones,1884,1884,67,21,46,0.313,-25,0,0,0,0,29,0,414,"2,518",618,7,0.245,545,4.63
100,Philadelphia Stars,1934,1948,945,433,483,0.473,-50,1,1,0,2,197,6,"4,275","27,126","7,387",277,0.272,"4,356",4.54
101,Philadelphia Tigers,1928,1928,9,2,7,0.222,-5,0,0,0,0,17,0,34,274,80,2,0.292,77,7.94
102,Pittsburgh Burghers,1890,1890,131,60,68,0.469,-8,0,0,0,0,17,3,849,"4,677","1,212",35,0.259,931,4.27
103,Pittsburgh Crawfords,1933,1940,473,252,205,0.551,47,3,3,0,3,104,8,"2,021","12,300","3,456",184,0.281,"1,881",4.39
,       Also played as Toledo-Indianapolis Crawfords and Toledo Crawfords,,,,,,,,,,,,,,,,,,,,
104,Pittsburgh Keystones II,1922,1922,40,14,24,0.368,-10,0,0,0,0,21,0,230,"1,411",409,12,0.29,300,6.56
,       Also played as Pittsburgh Keystones,,,,,,,,,,,,,,,,,,,,
105,Pittsburgh Rebels,1914,1915,310,150,153,0.495,-3,0,0,0,0,43,0,"1,197","10,154","2,657",54,0.262,"1,222",3.18
106,Pollock's Cuban Stars,1932,1932,22,10,12,0.455,-2,0,0,0,0,21,0,115,942,250,6,0.265,141,4.03
107,Providence Grays,1878,1885,725,438,278,0.612,160,0,2,0,0,69,4,"4,037","26,572","6,764",98,0.255,"3,128",2.18
108,Richmond Virginians,1884,1884,46,12,30,0.286,-18,0,0,0,0,19,0,194,"1,469",326,7,0.222,294,4.52
109,Rochester Broncos,1890,1890,133,63,63,0.5,0,0,0,0,0,20,0,709,"4,553","1,088",31,0.239,711,3.56
110,St. Louis Brown Stockings,1876,1877,124,73,51,0.589,22,0,0,0,0,21,0,670,"4,656","1,173",3,0.252,547,1.92
111,St. Louis Maroons,1884,1886,351,173,170,0.504,3,0,1,0,0,52,0,"1,824","12,293","3,081",70,0.251,"1,734",2.86
112,St. Louis Stars I,1920,1931,976,580,388,0.599,192,3,3,0,4,124,4,"6,137","32,081","9,601",772,0.299,"5,111",4.48
